Date,Monthly,Monthly_MA
11/1/19,96.8,95.2
12/1/19,99.3,97.2
1/1/20,99.8,98.6
2/1/20,101,100
3/1/20,89.1,96.6
4/1/20,71.8,87.3
5/1/20,72.3,77.7
6/1/20,78.1,74.1
7/1/20,72.5,74.3
8/1/20,74.1,74.9
9/1/20,80.4,75.7
10/1/20,81.8,78.8
11/1/20,76.9,79.7
12/1/20,80.7,79.8
1/1/21,79,78.9
2/1/21,76.8,78.8
3/1/21,84.9,80.2
4/1/21,88.3,83.3
5/1/21,82.9,85.4
6/1/21,85.5,85.6
7/1/21,81.2,83.2
8/1/21,70.3,79
9/1/21,72.8,74.8
10/1/21,71.7,71.6
11/1/21,67.4,70.6
12/1/21,70.6,69.9
1/1/22,67.2,68.4
2/1/22,62.8,66.9
3/1/22,59.4,63.1
4/1/22,65.2,62.5
5/1/22,58.4,61
6/1/22,50,57.9
7/1/22,51.5,53.3
8/1/22,58.2,53.2
9/1/22,58.6,56.1
10/1/22,59.9,58.9
11/1/22,56.8,58.4